CLID	subtype	ACTR3B	ANLN	BAG1	BCL2	BIRC5	BLVRA	CCNB1	CCNE1	CDC20	CDC6	CDH3	CENPF	CEP55	CXXC5	EGFR	ERBB2	ESR1	EXO1	FGFR4	FOXA1	FOXC1	GPR160	GRB7	KIF2C	KRT14	KRT17	KRT5	MAPT	MDM2	MELK	MIA	MKI67	MLPH	MMP11	MYBL2	MYC	NAT1	ORC6L	PGR	PHGDH	PTTG1	RRM2	SFRP1	SLC39A6	TMEM45B	TYMS	UBE2C	UBE2T
TCGA-3C-AAAU-01A	0	359.824	828.215	1890.57	2315.76	390.798	850.618	1282.82	163.368	603.153	488.037	129.592	1824.97	319.843	1855.3	53.0775	7113.41	3457.96	198.524	67.8978	5448.37	19.6456	1347.62	807.88	656.23	0	0.6893	1.3786	7988.16	14938.2	264.353	5.8006	2582.87	6067.03	11505.4	749.978	2223.74	8014.7	206.106	2273.27	741.361	383.605	1477.21	473.217	90765.8999999999	2.4126	493.114	555.59	318.465
TCGA-4H-AAAK-01A	0	235.319	359.575	2154.5	1575.32	202.962	651.064	647.66	56.5957	389.362	399.575	590.638	1109.36	207.234	703.404	164.251	12236.6	5518.3	84.6809	781.277	6799.57	150.213	744.681	1039.57	331.489	2896.6	2997.87	2734.47	7789.36	1226.38	245.532	131.23	1206.38	6126.81	32954	481.702	4137.45	130.638	60.4255	4425.19	626.383	257.872	384.255	1531.91	3834.89	385.106	675.723	322.128	192.34
TCGA-5L-AAT0-01A	0	197.096	114.973	1504.56	2114.68	111.782	1200.76	381.874	50.4473	214.694	171.286	753.19	695.703	86.2297	1210.15	97.9381	9411.94	6592.17	56.8998	59.8328	6281.27	177.739	708.608	729.138999999999	126.118	2952.34	1716.97	2807.45	6458.43	1326.88	102.068	116.744	503.886	9147.38	31196.4	201.789	1586.16	769.614	44.5813	734.8	476.316	137.263	315.002	1762.14	2687.78	333.187	326.189	170.7	198.856
TCGA-5L-AAT1-01A	0	158.109	263.244	1695.85	842.706	50.057	1266.5	312.958	32.5998	349.633	61.1247	1036.67	315.403	46.4548	415.648	52.1597	13189.1	4309.7	11.4099	2004.89	6867.97	155.664	1260.8	1028.52	60.3097	2149.14	1164.63	2023.63	1851.67	1678.08	89.6496	68.4597	194.784	8296.66	42311.3	78.2396	1141.81	2510.19	35.0448	36.6748	414.018	102.689	159.739	715.566	4236.35	1163.81	269.267	75.7946	171.149
TCGA-5T-A9QA-01A	0	273.013	438.808	7175.24	1389.12	412.568	1423.12	1023.01	134.937	518.305	752.092	448.222	1946.65	606.695	542.364	14.1213	11993.2	3557.01	350.418	3701.88	8191.42	81.0669	1900.63	1712.87	504.707	2.6151	6.2762	2.6151	449.268	1882.32	329.498	10.3452	953.975	20887	1192.47	904.812	1612.97	886.506	168.41	108.787	38.1799	212.343	687.761	12.5523	16254.7	3269.35	1123.76	1041.32	739.54
TCGA-A1-A0SB-01A	0	886.586	499.606	1087.94	2536.77	131.564	521.68	409.956	57.2137	267.598	234.711	2504.34	988.85	134.7	94.1547	3690.47	6711.57	860.457	96.4073	38.7431	535.646	2276.83	109.472	453.655	229.305	9949.32	11574.7	38415.6	1341.59	2412.43	130.645	2337.28	1583.51	348.688	243.271	392.387	7752.22	58.1147	84.2437	9.4605	4744.68	159.477	341.48	18383.6	2906.63	40.5451	577.16	128.393	102.714
TCGA-A1-A0SD-01A	0	184.6	421.14	7259.77	2010.09	167.222	1131.75	609.71	34.7366	176.66	158.134	2253.91	1057.98	245.803	797.287	362.584	12986.5	9728.23	70.4656	889.918	8118.44	257.382	1271.69	788.023999999999	136.631	4230.58	6636.67	6338.93	2173.19	2132.83	182.284	95.2775	1478.79	9514.18	7107.44	398.313	2210.9	1832.44	43.6688	716.761	302.043	199.487	490.944	1673.97	79328.8000000001	303.366	200.787	340.088	131.668
TCGA-A1-A0SE-01A	0	197.779	629.864	1897.6	2069.27	274.593	1913.62	1075.77	36.1991	611.765	328.425	1484.82	3422.46	353.106	995.804	578.856	9311.07	4412.01	289.264	91.8141	7791.36	320.526	1132.04	515.673	474.537	3470.18	1955.41	6042.95	7106.21	2168	258.33	113.741	1959.69	5665.49	6337.8	675.278	2149.57	4014.81	39.1608	7168.08	1620.07	346.195	512.382	8650.93	33040.2	82.9288	411.301	454.792	481.448
TCGA-A1-A0SF-01A	0	268.181	323.873	1538.61	2044.34	116.667	1957.38	716.291	64.6889	590.769	270.323	1255.65	1389.31	227.482	1048.73	243.333	7976.87	7895.91	138.374	385.563	6637.26	143.087	1853.27	536.79	359.859	5933.39	3259.29	6379.79	5253.08	1920.53	204.777	159.255	1328.05	7970.02	1715.76	764.272	1777.45	8094.69	38.1279	7068.28	350.863	203.492	502.089	3628.58	12656.3	87.3943	401.667	412.124	200.065
TCGA-A1-A0SG-01A	0	141.481	354.603	2677.65	1690.22	141.546	767.528	534.605	19.0802	353.524	181.802	513.365	900.009	178.562	1765.46	144.361	10661.1	16508.7	86.0409	989.29	5916.66	80.2808	784.088	401.044	239.402	828.728	914.409	963.01	4010.08	5072.81	123.121	8.2801	836.648	9134.37000000001	16264.6	281.163	435.244	146.161	175.322	15002.1	78.4808	135.361	295.563	348.844	19872.9	502.565	387.616	198.362	134.641
